Date,Group,Milk,Fat,Protein,Lactose,Somatic_cells
2021-11-15,5,33.62,4.13,3.73,5.01,279
2021-12-15,1,35.24,3.64,3.35,5.02,189
2021-12-15,2,37.91,3.82,3.41,4.82,420
2021-12-15,3,40.11,3.8,3.44,4.87,475
2021-12-15,4,42.59,4.13,3.5,4.9,297
2021-12-15,5,31.47,4.32,3.83,5.01,390
2022-01-18,1,33.81,4.06,3.41,5.05,167
2022-01-18,2,38.22,4.1,3.5,4.98,437
2022-01-18,3,39.8,3.7,3.44,4.84,428
2022-01-18,4,42.86,4.13,3.55,4.95,143
2022-01-18,5,32.23,4.51,3.78,5.0,329
2022-02-15,1,33.97,3.78,3.45,5.07,363
2022-02-15,2,37.88,3.86,3.51,4.96,154
2022-02-15,3,41.01,3.87,3.51,4.96,478
2022-02-15,4,42.68,3.95,3.64,4.97,186
2022-02-15,5,30.2,4.48,3.92,5.0,228
2022-03-23,1,34.77,3.72,3.26,5.02,300
2022-03-23,2,37.9,3.82,3.43,4.93,165
2022-03-23,3,40.78,3.68,3.38,4.88,467
2022-03-23,4,39.52,3.97,3.51,4.91,250
2022-03-23,5,30.74,4.35,3.76,4.95,178
2022-04-19,1,36.27,3.73,3.24,5.04,234
2022-04-19,2,40.22,3.64,3.43,4.97,204
2022-04-19,3,44.83,3.79,3.29,4.93,300
2022-04-19,4,41.64,3.84,3.49,4.9,540
2022-04-19,5,30.77,4.38,3.69,4.98,192
2022-05-11,1,35.88,3.76,3.14,5.02,187
2022-05-11,2,37.82,3.89,3.37,4.92,338
2022-05-11,3,41.5,3.72,3.25,4.74,592
2022-05-11,4,41.48,3.96,3.42,4.9,266
2022-05-11,5,30.25,4.32,3.58,4.93,238
2022-06-14,1,34.08,3.59,3.03,4.88,158
2022-06-14,2,36.46,3.8,3.35,4.89,377
2022-06-14,3,41.55,3.71,3.23,4.81,469
2022-06-14,4,40.65,3.98,3.35,4.88,353
2022-06-14,5,30.69,3.88,3.49,4.89,363
2022-07-05,1,35.46,3.58,3.1,5.05,334
2022-07-05,2,38.65,3.6,3.19,4.8,298
2022-07-05,3,40.53,3.6,3.27,4.82,677
2022-07-05,4,41.19,4.0,3.35,4.9,398
2022-07-05,5,31.73,3.97,3.43,4.74,197
2022-08-09,1,34.58,3.45,3.12,5.04,222
2022-08-09,2,38.67,3.79,3.32,4.94,197
2022-08-09,3,38.43,3.66,3.3,4.77,294
2022-08-09,4,39.95,3.81,3.31,4.87,313
2022-08-09,5,32.22,3.71,3.44,4.99,282
2022-09-12,1,33.64,3.75,3.13,4.96,189
2022-09-12,2,37.83,3.83,3.29,4.92,223
2022-09-12,3,36.77,3.96,3.37,4.8,334
2022-09-12,4,40.26,3.93,3.21,4.81,330
2022-09-12,5,31.68,4.05,3.39,4.94,228
2022-10-19,1,32.2,3.89,3.18,4.89,285
2022-10-19,2,34.64,4.14,3.39,4.88,210
2022-10-19,3,35.35,4.1,3.42,4.79,381
2022-10-19,4,39.6,4.0,3.39,4.91,523
2022-10-19,5,34.5,4.09,3.38,4.82,730
2022-11-10,1,33.93,3.78,3.25,4.96,179
2022-11-10,2,36.47,3.89,3.41,4.94,188
2022-11-10,3,37.27,3.99,3.43,4.76,355
2022-11-10,4,41.18,3.9,3.35,4.87,303
2022-11-10,5,30.1,4.43,3.55,4.87,207
